timestamp,open,high,low,close,volume
2026-03-01 00:00:00+00:00,66937.0,68189.0,65812.0,67474.7,56559.864
2026-03-01 04:00:00+00:00,67474.8,67582.2,66757.2,67113.9,24461.609
2026-03-01 08:00:00+00:00,67114.0,67275.5,66160.4,66439.0,25330.042
2026-03-01 12:00:00+00:00,66439.0,67333.0,66100.0,66810.8,31465.641
2026-03-01 16:00:00+00:00,66810.8,67083.0,65681.3,65926.0,39092.282
2026-03-01 20:00:00+00:00,65925.9,66888.0,65011.0,65750.0,42201.998
2026-03-02 00:00:00+00:00,65749.9,67082.5,65726.0,66787.3,30045.733
2026-03-02 04:00:00+00:00,66787.3,66966.0,65509.0,65981.3,23909.56
2026-03-02 08:00:00+00:00,65981.2,66707.5,65612.4,66329.9,25846.474
2026-03-02 12:00:00+00:00,66329.8,69588.0,65234.4,69089.1,100518.31
2026-03-02 16:00:00+00:00,69089.1,70100.0,68519.8,68928.4,69288.61
2026-03-02 20:00:00+00:00,68928.4,69500.0,68529.5,68801.8,27769.345
2026-03-03 00:00:00+00:00,68801.8,69221.6,68142.1,68349.3,24654.008
2026-03-03 04:00:00+00:00,68349.4,68561.9,67759.6,68138.3,25184.326
2026-03-03 08:00:00+00:00,68138.2,68281.6,66270.7,67000.0,57583.252
2026-03-03 12:00:00+00:00,67000.0,68000.0,66080.0,67692.5,67933.027
2026-03-03 16:00:00+00:00,67692.5,68972.9,67440.0,68395.9,61502.223
2026-03-03 20:00:00+00:00,68395.9,68821.5,67778.4,68295.3,20613.064
2026-03-04 00:00:00+00:00,68295.2,68887.9,67350.0,67700.1,33692.828
2026-03-04 04:00:00+00:00,67700.1,69676.4,67421.9,69464.5,39330.795
2026-03-04 08:00:00+00:00,69464.5,71887.9,69100.2,71082.4,94611.132
2026-03-04 12:00:00+00:00,71082.3,73436.4,70559.7,73339.7,92618.5
2026-03-04 16:00:00+00:00,73339.7,74046.5,72467.2,73580.2,67026.008
2026-03-04 20:00:00+00:00,73580.3,73678.2,72273.0,72641.4,29864.233
2026-03-05 00:00:00+00:00,72641.4,73295.7,72300.0,72469.6,23591.685
2026-03-05 04:00:00+00:00,72469.5,73060.0,71740.0,72025.5,32629.087
2026-03-05 08:00:00+00:00,72025.4,73539.1,71716.3,72879.9,38402.512
2026-03-05 12:00:00+00:00,72880.0,73032.0,71136.2,71611.7,62191.887
2026-03-05 16:00:00+00:00,71611.7,71620.6,70612.8,70875.5,50962.285
2026-03-05 20:00:00+00:00,70875.5,71530.4,70737.9,70854.8,18390.824
2026-03-06 00:00:00+00:00,70854.8,71387.5,70339.6,71045.4,23279.92
2026-03-06 04:00:00+00:00,71045.4,71168.0,70100.0,71026.7,29611.984
2026-03-06 08:00:00+00:00,71026.7,71035.3,70164.9,70185.6,25068.966
